feature,importance,coefficient,type
feature_0382,0.05844927152388062,-0.05844927152388062,abs_coefficient
feature_4094,0.05795671162133475,0.05795671162133475,abs_coefficient
feature_5854,0.05675726868653384,-0.05675726868653384,abs_coefficient
feature_5381,0.056665893935327775,0.056665893935327775,abs_coefficient
feature_1548,0.05587891213986967,0.05587891213986967,abs_coefficient
feature_1572,0.05531390555456246,0.05531390555456246,abs_coefficient
feature_1242,0.055041154001668716,0.055041154001668716,abs_coefficient
feature_5284,0.05426891671076972,-0.05426891671076972,abs_coefficient
feature_4196,0.05345802750478137,0.05345802750478137,abs_coefficient
feature_5964,0.051519909317740135,-0.051519909317740135,abs_coefficient
feature_4444,0.05066076477822144,0.05066076477822144,abs_coefficient
feature_5793,0.04982378053481411,0.04982378053481411,abs_coefficient
feature_3635,0.049695516264543896,-0.049695516264543896,abs_coefficient
feature_3750,0.04590853914210603,0.04590853914210603,abs_coefficient
feature_1783,0.045380728155265004,-0.045380728155265004,abs_coefficient
feature_4739,0.04018952592583276,-0.04018952592583276,abs_coefficient
feature_0759,0.04012391166431155,-0.04012391166431155,abs_coefficient
feature_2116,0.03938814141829214,-0.03938814141829214,abs_coefficient
feature_0876,0.038485090403985414,-0.038485090403985414,abs_coefficient
feature_2221,0.03825308037186849,0.03825308037186849,abs_coefficient
feature_5962,0.03754147347197656,-0.03754147347197656,abs_coefficient
feature_3065,0.03716161515911923,0.03716161515911923,abs_coefficient
feature_2603,0.03687491750153475,-0.03687491750153475,abs_coefficient
feature_6542,0.03650274014335965,0.03650274014335965,abs_coefficient
feature_3038,0.03584913816492416,-0.03584913816492416,abs_coefficient
feature_0911,0.03474851103599204,0.03474851103599204,abs_coefficient
feature_5945,0.03467458649917659,-0.03467458649917659,abs_coefficient
feature_5321,0.033159086222918036,0.033159086222918036,abs_coefficient
feature_6148,0.03308490786443707,-0.03308490786443707,abs_coefficient
feature_5184,0.03299018411556774,0.03299018411556774,abs_coefficient
